V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30
ACN9,0,1,3465,1049,124,0,349,465,0,2187,1845,585,5981,37,0,152,7347,256,0,271,1383,1,1766,0,740,1355,0,466,1752,400
ACO1,0,45,491,0,477,0,273,424,0,1427,0,0,4,17,0,0,0,74,0,0,1514,0,108,2797,0,617,1197,0,0,56
ACO2,5622,696,1503,1847,572,0,58,89,4,3666,453,410,3930,0,37,374,5674,1091,0,0,2572,603,1007,0,2977,845,1754,1026,2517,1480
ACOT1,0,0,0,169,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOT11,0,0,0,0,0,0,0,2,0,0,0,142,989,500,3,385,0,0,1,0,0,0,0,0,0,0,0,0,57,0
ACOT12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOT13,0,108,2156,2446,547,628,391,1,56,2771,897,1801,3613,288,52,15,3017,329,0,119,886,31,406,1542,1149,686,201,0,485,281
ACOT2,0,0,0,172,0,0,0,0,0,0,59,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOT4,0,0,0,0,0,0,71,0,0,231,0,0,0,0,0,0,0,0,0,2,241,0,0,0,0,0,0,0,0,0
ACOT6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOT7,0,700,1476,2438,0,0,1216,721,31,1377,1938,47,1096,407,911,0,9571,278,372,24,9600,536,2223,2254,823,1227,17,0,4957,1475
ACOT8,0,1,0,1025,0,0,0,0,0,2282,61,119,2631,247,3,91,2,14,101,67,1927,0,85,0,0,0,0,0,1006,0
ACOT9,0,0,0,0,0,0,220,0,183,0,0,0,0,0,628,0,1655,0,0,33,0,0,0,0,0,0,0,1,0,0
ACOX1,0,13,1414,710,0,0,77,762,0,1408,1495,282,906,834,0,0,13227,0,0,98,1240,662,1277,6093,4,196,215,88,2672,781
ACOX2,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOX3,0,0,0,0,107,1616,158,0,0,0,622,0,0,639,0,0,0,0,0,0,0,0,194,3434,0,51,0,0,1300,636
ACOXL,0,0,82,4,43,0,54,0,0,0,10,0,0,0,0,69,0,0,0,4,0,54,0,0,0,0,459,0,0,19
ACP1,0,1059,10483,4854,1067,91,788,1929,81,7663,5007,1152,10951,78,628,440,16028,1739,513,157,14159,882,3041,11639,1683,2204,5794,2020,11620,5708
ACP2,0,0,3476,0,376,0,0,160,0,0,0,0,0,0,0,24,0,0,0,20,0,0,0,0,2,0,0,0,0,0
ACP5,1286,149,0,0,0,0,0,11,0,0,0,0,0,0,0,381,0,0,0,0,0,0,123,0,0,0,0,0,0,0
ACP6,1,0,0,0,0,0,3,456,0,127,0,0,98,0,59,0,0,0,0,5,0,0,0,0,0,0,0,0,0,487
ACPL2,0,0,0,0,0,0,0,0,419,0,0,133,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ACPP,0,0,0,26,0,0,539,705,0,0,0,26,0,0,0,0,0,0,0,0,0,0,1220,0,0,1,0,0,0,1215
ACPT,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ACR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACRBP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
ACRV1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,0
ACSBG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
ACSBG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,31,0,0,0,0,0,0,0,0
ACSF2,0,0,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0
ACSF3,0,130,0,0,0,0,0,0,0,0,0,0,4,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,6,0
ACSL1,0,227,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
ACSL3,0,489,3154,2373,328,2889,448,15,579,10126,1577,181,9745,0,1243,536,6655,390,459,146,4239,967,474,1053,11,1263,2080,0,2674,406
ACSL4,0,160,0,0,0,0,6,1059,11,2279,933,111,2122,76,108,29,1,0,0,599,0,0,0,0,0,89,0,0,9,351
ACSL5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
ACSL6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,34,0,0,0,0,0,0,0
ACSM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ACSM2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSM2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSM3,0,0,0,0,416,0,0,0,0,0,0,807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
